SC3_NAME,SC3_CODE,Local Boundary Name,SampleValues
Faganeanea,ASM-111,VILLAGE,
Fagasa,ASM-112,VILLAGE,
Matu'u,ASM-113,VILLAGE,
Nu'uuli,ASM-114,VILLAGE,
Anua,ASM-121,VILLAGE,
Atu'u,ASM-122,VILLAGE,
Aua,ASM-123,VILLAGE,
Faga'alu,ASM-124,VILLAGE,
Fagatogo,ASM-125,VILLAGE,
Fatumafuti,ASM-126,VILLAGE,
Leloaloa,ASM-127,VILLAGE,
Pago Pago,ASM-128,VILLAGE,
Utulei,ASM-129,VILLAGE,
Alofau,ASM-131,VILLAGE,
Amouli,ASM-132,VILLAGE,
Auasi,ASM-133,VILLAGE,
Aunu'u,ASM-134,VILLAGE,
Pagai,ASM-135,VILLAGE,
Utumea East,ASM-136,VILLAGE,
Afono,ASM-141,VILLAGE,
Alega,ASM-142,VILLAGE,
Amaua,ASM-143,VILLAGE,
Aumi,ASM-144,VILLAGE,
Auto,ASM-145,VILLAGE,
Avaio,ASM-146,VILLAGE,
Faga'itua,ASM-147,VILLAGE,
Lauli'i,ASM-148,VILLAGE,
Masausi,ASM-149,VILLAGE,
Masefau,ASM-1410,VILLAGE,
Sa'ilele,ASM-1411,VILLAGE,
Alao,ASM-151,VILLAGE,
Aoa,ASM-152,VILLAGE,
Onenoa,ASM-153,VILLAGE,
Tula,ASM-154,VILLAGE,
Vatia,ASM-155,VILLAGE,
Faleasao,ASM-211,VILLAGE,
Leusoali'i,ASM-221,VILLAGE,
Maia,ASM-222,VILLAGE,
Ofu,ASM-231,VILLAGE,
Olosega,ASM-241,VILLAGE,
Sili,ASM-242,VILLAGE,
Luma,ASM-251,VILLAGE,
Si'ufaga,ASM-252,VILLAGE,
Rose island,ASM-311,VILLAGE,
Swains Island,ASM-321,VILLAGE,
Afao,ASM-411,VILLAGE,
Agugulu,ASM-412,VILLAGE,
Amaluia,ASM-413,VILLAGE,
Amanave,ASM-414,VILLAGE,
Asili,ASM-415,VILLAGE,
Fagali'i,ASM-416,VILLAGE,
Fagamalo,ASM-417,VILLAGE,
Failolo,ASM-418,VILLAGE,
Leone,ASM-419,VILLAGE,
Maloata,ASM-4110,VILLAGE,
Nua,ASM-4111,VILLAGE,
Poloa,ASM-4112,VILLAGE,
Se'etaga,ASM-4113,VILLAGE,
Utumea West,ASM-4114,VILLAGE,
Aasu,ASM-421,VILLAGE,
Aoloau,ASM-422,VILLAGE,
Malaeloa/Aitulagi,ASM-423,VILLAGE,
Futiga,ASM-431,VILLAGE,
Malaeloa/Ituau,ASM-432,VILLAGE,
Taputimu,ASM-433,VILLAGE,
Vailoatai,ASM-434,VILLAGE,
Faleniu,ASM-441,VILLAGE,
Ili'ili,ASM-442,VILLAGE,
Malaeimi,ASM-443,VILLAGE,
Mapusagafou,ASM-444,VILLAGE,
Mesepa,ASM-445,VILLAGE,
Pava'ia'i,ASM-446,VILLAGE,
Tafuna,ASM-447,VILLAGE,
Vaitogi,ASM-448,VILLAGE,
Te Ngatangi,COK-28,CENSUS DISTRICT,
Ngatiarua-Atiu,COK-26,CENSUS DISTRICT,
Areora,COK-27,CENSUS DISTRICT,
Tamarua,COK-21,CENSUS DISTRICT,
Karanga,COK-23,CENSUS DISTRICT,
Tavaenga,COK-18,CENSUS DISTRICT,
Kaumata,COK-19,CENSUS DISTRICT,
Te Makatea,COK-20,CENSUS DISTRICT,
Nassau,COK-38,CENSUS DISTRICT,
Palmerston,COK-34,CENSUS DISTRICT,
Tukao,COK-40,CENSUS DISTRICT,
Tauhunu,COK-39,CENSUS DISTRICT,
Areora & Makatea,COK-30,CENSUS DISTRICT,
Kimiangatau,COK-29,CENSUS DISTRICT,
Ngatiarua-Mauke,COK-31,CENSUS DISTRICT,
Ngake,COK-35,CENSUS DISTRICT,
Yato,COK-37,CENSUS DISTRICT,
Roto,COK-36,CENSUS DISTRICT,
Takaue-Mangarei,COK-32,CENSUS DISTRICT,
Auta-Atai,COK-33,CENSUS DISTRICT,
Mapumai,COK-24,CENSUS DISTRICT,
Te Enui,COK-25,CENSUS DISTRICT,
Ivirua,COK-22,CENSUS DISTRICT,
Nikao-Panama,COK-6,CENSUS DISTRICT,
Avatiu-Ruatonga,COK-5,CENSUS DISTRICT,
Pue-Matavera,COK-1,CENSUS DISTRICT,
Tupapa-Marairenga,COK-2,CENSUS DISTRICT,
Tutakimoa-Teotue,COK-4,CENSUS DISTRICT,
Takuvaine-Parekura,COK-3,CENSUS DISTRICT,
Matavera,COK-12,CENSUS DISTRICT,
Titikaveka,COK-10,CENSUS DISTRICT,
Ngatangiia,COK-11,CENSUS DISTRICT,
Akaoa,COK-8,CENSUS DISTRICT,
Murienua,COK-9,CENSUS DISTRICT,
Ruaau,COK-7,CENSUS DISTRICT,
Amuri - Ureia,COK-13,CENSUS DISTRICT,
Vaipae -Avanui,COK-15,CENSUS DISTRICT,
Tautu,COK-17,CENSUS DISTRICT,
Arutanga,COK-14,CENSUS DISTRICT,
Matara,COK-41,CENSUS DISTRICT,
Numahanga,COK-42,CENSUS DISTRICT,
Te Tautua,COK-43,CENSUS DISTRICT,
Omoka,COK-44,CENSUS DISTRICT,
Suwarrow National Park,COK-45,CENSUS DISTRICT,
Namosi,FJI-1001,TIKINA,
Veivatuloa,FJI-1002,TIKINA,
Wainikoroiluva,FJI-1003,TIKINA,
Ba,FJI-101,TIKINA,
Magodro,FJI-102,TIKINA,
Nadi,FJI-103,TIKINA,
Naviti,FJI-104,TIKINA,
Nawaka,FJI-105,TIKINA,
Tavua,FJI-106,TIKINA,
Vuda,FJI-107,TIKINA,
Yasawa,FJI-108,TIKINA,
Nakorotubu,FJI-1101,TIKINA,
Nalawa,FJI-1102,TIKINA,
Rakiraki,FJI-1103,TIKINA,
Saivou,FJI-1104,TIKINA,
Beqa,FJI-1201,TIKINA,
Noco,FJI-1202,TIKINA,
Rewa,FJI-1203,TIKINA,
Suva,FJI-1204,TIKINA,
Nuku,FJI-1301,TIKINA,
Serua,FJI-1302,TIKINA,
Bau,FJI-1401,TIKINA,
Nakelo,FJI-1402,TIKINA,
Sawakasa,FJI-1403,TIKINA,
Verata,FJI-1404,TIKINA,
